Latitude,Longitude,Radius,Depth
42.8864,308.1248,7.3417,-2548.25
42.8823,308.2696,7.1587,-2562.234375
43.0209,308.0988,11.3154,-2550.859863
43.0738,308.2641,15.2831,-2565.286621
42.9754,308.1163,8.9943,-2550.318604
43.1319,308.1769,13.352,-2561.316406
43.1488,308.261,21.3409,-2561.689941
42.9874,308.2296,12.7769,-2561.1521
43.0896,308.1012,23.4762,-2550.196289
42.9542,308.2122,7.3405,-2558.05835
43.0254,308.2002,9.779,-2563.136963
42.9462,308.2765,12.5387,-2563.419189
42.9882,308.2372,18.594,-2561.41333
42.8953,308.1814,10.4486,-2553.057129
43.0363,308.0352,16.0438,-2546.017334
42.9636,308.2999,8.5522,-2568.044922
43.0146,308.0883,8.732,-2550.424316
43.0063,308.247,13.5461,-2567.460938
42.9979,308.0733,7.1959,-2547.854004
42.9768,308.0758,11.4321,-2548.893066
43.1224,308.1238,8.9701,-2552.242188
43.1218,308.1628,9.1824,-2557.075439
42.8781,308.2391,23.6987,-2563.307861
43.0172,308.2081,9.6447,-2561.002441
43.0875,308.0698,10.3383,-2546.935059
42.9997,308.2892,21.4205,-2570.212402
43.1571,308.2969,10.758,-2564.564697
42.887,308.2806,8.1314,-2562.391602
42.9696,308.2218,8.6283,-2559.724609
43.0964,308.2667,12.586,-2562.904053
42.8671,308.0366,9.6242,-2541.636719
42.906,308.1589,30.6217,-2550.391357
42.9699,308.3058,12.966,-2567.836914
42.9927,308.2256,7.1852,-2564.174805
43.1378,308.3052,10.8861,-2564.435303
43.0135,308.2971,8.6878,-2571.188721
43.0271,308.216,14.0608,-2564.103027
42.9835,308.258,18.2015,-2563.843262
42.8652,308.0354,10.3597,-2542.341797
43.0472,308.2086,12.5136,-2559.977783
43.0623,308.1461,9.1591,-2555.713867
42.9809,308.2687,7.4829,-2563.901123
43.1253,308.1858,12.6185,-2558.282227
43.0297,308.1864,14.8003,-2559.540039
43.0042,308.2546,18.4963,-2569.194092
43.0026,308.2607,7.3381,-2568.92749
42.9751,308.1686,11.0215,-2555.104492
42.9037,308.1971,12.4162,-2556.207764
43.0075,308.2724,22.8871,-2570.509033
42.9106,308.1913,10.8279,-2553.665039
42.9533,308.1978,9.2024,-2557.831787
42.8981,308.1147,8.3331,-2548.115234
43.0533,308.108,15.3533,-2552.435303
42.9558,308.0754,10.8133,-2548.344482
43.1518,308.2232,9.7777,-2557.737305
43.0659,308.2817,10.776,-2566.844482
43.0777,308.1596,9.4634,-2555.638672
43.0718,308.1979,24.1126,-2558.205322
43.0941,308.1009,11.6942,-2544.157227
43.082,308.254,11.397,-2564.361816
43.1155,308.2479,24.666,-2561.46875
42.9397,308.2771,7.3559,-2565.177979
42.9716,308.0735,10.2075,-2549.891846
43.0538,308.2158,24.5202,-2560.555908
42.9867,308.2914,12.4381,-2567.372559
42.9604,308.1329,9.2347,-2551.491455
42.896,308.1171,10.5539,-2548.506592
43.0569,308.1589,11.5779,-2555.059814
42.9461,308.1793,24.6886,-2554.152832
42.9882,308.2713,17.2998,-2564.075195
42.9527,308.1337,14.5722,-2552.313232
42.938,308.2493,10.4878,-2561.030518
42.9816,308.2793,16.904,-2565.247559
43.0018,308.2185,10.8802,-2563.69043
43.0635,308.1515,7.9846,-2554.16748
42.8767,308.2126,11.3527,-2558.836426
43.1276,308.1345,9.1999,-2553.086182
43.1069,308.2468,6.0041,-2562.364746
43.133,308.2978,18.2105,-2564.323975
43.1436,308.2564,11.1447,-2561.68457
42.9896,308.25,11.3523,-2562.950928
42.9964,308.2451,10.28,-2565.759033
42.9591,308.1176,11.2389,-2550.149414
42.9759,308.0916,12.4844,-2548.258301
43.1216,308.0619,29.305,-2543.045654
43.0763,308.2823,11.0829,-2565.99707
42.9708,308.2399,9.448,-2561.609131
42.9673,308.2236,29.1292,-2559.559814
43.1568,308.2369,16.7778,-2559.879883
43.0188,308.196,10.6973,-2560.838135
42.9004,308.0732,8.6776,-2545.521973
43.0472,308.0333,6.9129,-2545.746582
43.0842,308.152,10.7479,-2559.783447
43.144,308.0325,18.7697,-2542.308594
43.1542,308.2342,7.2784,-2560.072754
43.0848,308.1711,9.7484,-2556.658447
43.0015,308.2228,8.8729,-2563.773193
